amplitudeVariation,kurtosis,max,mean,meanAmplitude,meanFrequency,median,medianFrequency,min,rms,skewness,std,totalPower,variance,zzclassification
92.6292,11.5723,65.6855,-0.3103,0.64558,0.084093,-0.61556,0.03133,-31.4542,7.8055,1.2455,7.8,60.9263,60.8402,TA
65.0002,7.0162,39.1029,-0.31494,0.20093,0.051268,-0.82766,0.024136,-27.2123,8.2457,1.0584,8.2403,67.991,67.9031,TA
148.4262,3.6025,82.7902,-1.3218,1.2303,0.036277,-2.9016,0.018814,-67.5366,22.9503,0.4141,22.9141,526.7148,525.0551,TA
148.4262,3.6025,82.7902,-1.3218,1.2303,0.036277,-2.9016,0.018814,-67.5366,22.9503,0.4141,22.9141,526.7148,525.0551,TA
183.5334,3.998,103.9411,1.0239,5.2038,0.045542,-0.90378,0.023091,-89.1893,26.1651,0.37971,26.1472,684.6107,683.6762,TA
191.7253,7.7734,107.7485,-2.0645,1.099,0.045057,-2.6507,0.02093,-108.082,22.7515,0.11643,22.6595,517.6299,513.4533,TA
178.2339,3.1758,100.9126,-0.38225,2.8145,0.041551,-1.2524,0.025062,-83.4691,28.8369,0.23826,28.8368,831.5662,831.5586,HVS
178.2339,3.1758,100.9126,-0.38225,2.8145,0.041551,-1.2524,0.025062,-83.4691,28.8369,0.23826,28.8368,831.5662,831.5586,HVS
169.4886,3.0161,92.8723,-0.92091,2.4367,0.035781,0.071747,0.018653,-80.6746,28.1738,-0.099103,28.1611,793.7609,793.045,TA
169.4886,3.0161,92.8723,-0.92091,2.4367,0.035781,0.071747,0.018653,-80.6746,28.1738,-0.099103,28.1611,793.7609,793.045,TA
179.6184,4.0278,114.2941,0.20793,2.5892,0.039401,-1.1064,0.021885,-129.4756,26.6432,-0.0077625,26.6446,709.8614,709.9365,TA
197.3897,3.8243,137.2831,1.5023,5.8183,0.056165,0.62342,0.021354,-88.451,26.2685,0.28178,26.2277,690.0321,687.8898,HVS
199.6323,3.4624,116.0275,-0.41112,6.6528,0.048936,-2.5887,0.026128,-119.7509,32.6422,0.17562,32.6423,1065.5101,1065.5187,HVS
162.3807,3.2687,91.2732,-0.96629,2.5033,0.048646,-0.0051256,0.026185,-96.7751,29.1398,0.074128,29.1262,849.1266,848.3343,HVS
165.0845,3.2905,87.4639,-0.57826,4.5921,0.046684,-0.95444,0.0242,-116.9029,27.3471,-0.035649,27.3433,747.8658,747.6561,HVS
313.6805,5.2384,156.9241,-0.63767,2.6054,0.028987,-3.6655,0.015502,-159.4211,41.2022,0.32415,41.2007,1697.6174,1697.4937,TA
313.6805,5.2384,156.9241,-0.63767,2.6054,0.028987,-3.6655,0.015502,-159.4211,41.2022,0.32415,41.2007,1697.6174,1697.4937,TA
235.3137,3.6853,140.6789,-1.867,2.4083,0.032303,-5.0982,0.016157,-130.9434,38.7209,0.35404,38.6791,1499.3085,1496.072,TA
177.8308,3.6137,97.6158,0.55666,4.0963,0.053726,-1.5969,0.01894,-95.1701,27.5501,0.35276,27.5468,759.0073,758.8239,TA
177.8308,3.6137,97.6158,0.55666,4.0963,0.053726,-1.5969,0.01894,-95.1701,27.5501,0.35276,27.5468,759.0073,758.8239,TA
161.6586,3.3334,79.4927,0.020575,3.5195,0.055367,-1.2111,0.016635,-87.818,24.9924,-0.00838,24.9944,624.6183,624.722,TA
164.3808,5.2032,85.3737,-0.72099,2.39,0.03416,-0.96741,0.016922,-83.0077,21.2824,0.48122,21.272,452.9413,452.4969,TA
164.3808,5.2032,85.3737,-0.72099,2.39,0.03416,-0.96741,0.016922,-83.0077,21.2824,0.48122,21.272,452.9413,452.4969,TA
129.7341,5.5191,80.7727,-1.4478,0.91883,0.039129,-2.542,0.018986,-74.9737,18.8912,0.70816,18.8372,356.8789,354.8418,TA
129.7341,5.5191,80.7727,-1.4478,0.91883,0.039129,-2.542,0.018986,-74.9737,18.8912,0.70816,18.8372,356.8789,354.8418,TA
111.9086,4.2189,68.3342,-0.75757,2.076,0.046477,-0.84461,0.024192,-50.2822,15.226,0.19637,15.2084,231.8321,231.2968,TA
144.8163,4.7537,68.5416,-2.5123,-1.0538,0.038804,-3.1752,0.021222,-78.0086,17.5162,0.1189,17.3365,306.8173,300.5557,TA
144.8163,4.7537,68.5416,-2.5123,-1.0538,0.038804,-3.1752,0.021222,-78.0086,17.5162,0.1189,17.3365,306.8173,300.5557,TA
154.0269,4.3393,83.764,-3.1762,-1.4248,0.039562,-4.3554,0.019358,-73.6738,19.9313,0.21421,19.6782,397.2557,387.2319,TA
154.4093,4.2445,91.46,-1.1677,1.5319,0.040425,-2.3931,0.018645,-76.6306,22.5153,0.51142,22.4869,506.9406,505.6613,TA
154.4093,4.2445,91.46,-1.1677,1.5319,0.040425,-2.3931,0.018645,-76.6306,22.5153,0.51142,22.4869,506.9406,505.6613,TA
167.4069,4.8705,106.2956,-0.14212,0.83186,0.043593,-1.5557,0.020251,-62.9681,22.7923,0.68137,22.7937,519.4874,519.5538,TA
157.4199,5.4502,89.75,0.081951,2.898,0.059233,-0.27998,0.029273,-129.3372,21.0693,0.027588,21.0709,443.9173,443.9846,TA
207.1589,5.7192,130.0755,-0.24079,2.3933,0.045354,-0.13887,0.026977,-89.0243,23.0086,0.37873,23.0093,529.3969,529.4272,TA
124.7393,3.2276,55.859,0.44173,3.3349,0.045388,1.037,0.022231,-70.5611,20.3605,-0.27746,20.3574,414.5513,414.4253,TA
132.7856,3.2718,68.4834,-1.299,2.0635,0.049701,-0.3521,0.024546,-70.9123,21.482,-0.046957,21.4445,461.4772,459.8664,TA
192.9654,3.505,95.3097,-2.6367,1.8638,0.0423,-2.233,0.030589,-99.4245,31.3118,-0.087314,31.2032,980.4311,973.6411,HVS
192.9654,3.505,95.3097,-2.6367,1.8638,0.0423,-2.233,0.030589,-99.4245,31.3118,-0.087314,31.2032,980.4311,973.6411,HVS
294.8923,4.2958,145.3981,-5.1004,-0.52438,0.030081,-1.565,0.015321,-152.2789,38.7593,-0.4081,38.4254,1502.2808,1476.513,HVS
194.3892,4.3122,120.2096,0.10971,4.0728,0.042267,-0.00017356,0.023174,-94.5636,25.5593,0.073747,25.5612,653.2798,653.3767,HVS
216.9936,3.3957,121.37,-0.79916,5.4218,0.032207,-1.2953,0.016599,-101.2434,36.913,0.22075,36.9074,1362.5673,1362.1557,HVS
177.2728,2.5716,99.744,-0.11394,4.2088,0.034628,-1.6529,0.022878,-80.9345,33.3496,0.21753,33.3521,1112.1928,1112.3652,HVS
222.1617,3.0907,122.9631,-0.017705,4.2601,0.019865,-2.3867,0.0054591,-120.2037,40.3612,0.20215,40.3645,1629.0249,1629.2961,HVS
109.6216,3.0412,50.7684,-0.13358,2.2051,0.047631,0.79512,0.018986,-67.8803,19.3782,-0.30904,19.3793,375.513,375.5578,HVS
109.6216,3.0412,50.7684,-0.13358,2.2051,0.047631,0.79512,0.018986,-67.8803,19.3782,-0.30904,19.3793,375.513,375.5578,HVS
162.7807,6.1125,56.8479,-0.082317,1.4114,0.047109,0.039157,0.021541,-113.0668,18.9622,-0.50666,18.9636,359.5665,359.6197,HVS
109.7184,3.8877,61.925,1.33,5.7823,0.062952,0.82541,0.033856,-88.3462,17.6631,-0.14605,17.6145,311.9861,310.269,HVS
109.7184,3.8877,61.925,1.33,5.7823,0.062952,0.82541,0.033856,-88.3462,17.6631,-0.14605,17.6145,311.9861,310.269,HVS
101.4106,3.5765,54.4887,-0.79428,2.7158,0.057942,-1.4996,0.025475,-49.3328,15.1283,0.027846,15.1087,228.8645,228.2717,HVS
102.0404,3.5282,64.1832,0.45421,3.9542,0.060418,-0.3037,0.031534,-49.6127,15.9436,0.33784,15.9385,254.1986,254.0347,HVS
154.9077,2.9454,92.4422,-0.70451,4.7307,0.039177,-0.72004,0.020744,-76.9573,25.4625,0.14858,25.4549,648.3406,647.9522,HVS
154.9077,2.9454,92.4422,-0.70451,4.7307,0.039177,-0.72004,0.020744,-76.9573,25.4625,0.14858,25.4549,648.3406,647.9522,HVS
143.9714,2.9559,83.3119,-2.0465,2.6021,0.043992,-3.984,0.027554,-62.1081,26.6657,0.40183,26.5893,711.0618,706.9914,HVS
152.1297,3.2523,77.4612,-0.87664,1.923,0.043276,-1.529,0.020914,-75.7722,25.2814,0.023104,25.2683,639.149,638.4869,HVS
151.4091,4.0271,78.9514,-1.2272,0.86521,0.02514,-2.2443,0.0096545,-75.0937,24.2401,0.33736,24.211,587.5817,586.1733,TA
138.8197,3.5646,94.1704,-0.82589,1.3372,0.02452,-2.0887,0.010219,-59.773,22.2881,0.55668,22.2747,496.7615,496.1621,TA
105.212,3.0487,59.8704,-0.81177,1.6959,0.041099,-2.7144,0.019231,-62.968,18.5465,0.38438,18.5303,343.974,343.3723,TA
131.7945,4.6249,61.9221,-0.93663,1.7395,0.044242,-2.0665,0.016135,-75.4685,16.6909,0.10083,16.666,278.5871,277.7561,TA
142.5848,4.13,82.0849,0.021244,3.2229,0.058396,0.58155,0.035641,-71.7148,19.8833,-0.12704,19.8849,395.344,395.4094,HVS
142.5848,4.13,82.0849,0.021244,3.2229,0.058396,0.58155,0.035641,-71.7148,19.8833,-0.12704,19.8849,395.344,395.4094,HVS
157.0848,3.2791,72.8716,-2.3789,1.0665,0.035283,1.1344,0.012406,-85.8907,25.3807,-0.64662,25.2711,644.1792,638.6263,HVS
138.334,3.0902,64.4588,-0.87227,2.9426,0.046112,-0.044322,0.033204,-90.7325,24.783,-0.15371,24.7697,614.1984,613.5398,HVS
170.8794,5.5154,94.2466,0.3118,5.1182,0.057882,1.5505,0.038691,-123.9959,25.0802,-0.36433,25.0804,629.0166,629.0243,HVS
111.7535,3.4404,51.376,-0.46177,2.0769,0.044953,-0.88326,0.019931,-64.3523,17.6836,-0.063722,17.6791,312.7114,312.5502,HVS
111.7535,3.4404,51.376,-0.46177,2.0769,0.044953,-0.88326,0.019931,-64.3523,17.6836,-0.063722,17.6791,312.7114,312.5502,HVS
164.5237,3.737,65.5199,-8.532,-5.4577,0.025516,-5.0587,0.0088618,-102.4206,27.0971,-0.59999,25.721,734.2546,661.5692,HVS
197.3005,4.4211,62.9495,-14.4523,-11.9772,0.0142,-6.6825,0.0022683,-137.1974,37.4974,-1.159,34.6033,1406.0561,1197.3879,HVS
209.6389,6.0123,87.4506,0.085299,2.1852,0.024602,-2.529,0.010253,-124.6898,28.3931,-0.081315,28.3953,806.1658,806.2929,HVS
174.1462,5.7619,63.9361,-0.18324,3.1745,0.045527,0.22802,0.031872,-117.9607,22.3061,-0.73169,22.3073,497.5643,497.6136,HVS
174.1462,5.7619,63.9361,-0.18324,3.1745,0.045527,0.22802,0.031872,-117.9607,22.3061,-0.73169,22.3073,497.5643,497.6136,HVS
155.4968,4.5294,77.5124,-0.60015,1.4662,0.052242,-1.2456,0.031985,-86.45,19.416,0.31124,19.4084,376.9825,376.6851,HVS
132.0065,4.2504,74.0697,-0.76713,1.6902,0.051539,-0.63108,0.034692,-95.5677,22.0647,-0.24843,22.0532,486.8499,486.3425,TA
121.6722,3.2226,70.7964,-0.063058,1.7454,0.045462,-0.0071362,0.023847,-54.9581,19.337,0.049161,19.3385,373.9179,373.9762,TA
170.256,3.9027,84.7298,-1.1597,1.0518,0.04282,-2.256,0.018735,-124.5206,26.5959,0.21697,26.5728,707.3394,706.1121,HVS
106.8344,2.707,54.8485,-0.54308,2.3106,0.055341,-1.0039,0.018504,-52.2621,17.6642,0.068108,17.6573,312.0225,311.7795,HVS
215.3697,4.7007,136.0193,-0.42701,2.9922,0.045443,0.12582,0.022391,-102.4533,27.9174,0.17619,27.9165,779.3815,779.3291,TA
170.256,3.9027,84.7298,-1.1597,1.0518,0.04282,-2.256,0.018735,-124.5206,26.5959,0.21697,26.5728,707.3394,706.1121,TA
